T,o,p,i,c
P,a,y,l,o,a,d
CPE_DEMO_HOUSE/,"{""Temperature"": 32, ""Humidity"": 54, ""Light"": 102}"
CPE_DEMO_HOUSE/room,"{""Temperature"": 32, ""Humidity"": 54, ""Light"": 102}"
CPE_DEMO_HOUSE/12,"{""Temperature"": 32, ""Humidity"": 54, ""Light"": 102}"
CPE_DEMO_HOUSE/BACKROOMS,FROM HERE
CPE_DEMO_HOUSE/room2,"{""Temperature"": 18, ""Humidity"": 30, ""Light"": 300}"
CPE_DEMO_HOUSE/room1,"{""Temperature"": 35, ""Humidity"": 60, ""Light"": 138}"
CPE_DEMO_HOUSE/r,"{""Temperature"": 32, ""Humidity"": 54, ""Light"": 102}"
CPE_DEMO_HOUSE/FOREST,HELP ME
CPE_DEMO_HOUSE/room17,"{""Temperature"": 35, ""Humidity"": 60, ""Light"": 138}"
CPE_DEMO_HOUSE/room19,"{""Temperature"": 32, ""Humidity"": 54, ""Light"": 102}"
CPE_DEMO_HOUSE/room100,"{""Temperature"": 35, ""Humidity"": 60, ""Light"": 138}"
CPE_DEMO_HOUSE/TEST,Muahahhaha
CPE_DEMO_HOUSE/roo,"{""Temperature"": 32, ""Humidity"": 54, ""Light"": 102}"
